Name,Sex,Year,Count
Ruby,M,1885,5
Ruby,M,1886,5
Ruby,M,1889,5
Ruby,M,1890,5
Ruby,M,1957,5
Ruby,M,1997,5
Ruby,M,2008,5
Ruby,M,2009,5
Ruby,M,2010,5
Ruby,M,1880,6
Ruby,M,1974,6
Ruby,M,1977,6
Ruby,M,1999,6
Ruby,M,2011,6
Ruby,M,2017,6
Ruby,M,2018,6
Ruby,M,1969,7
Ruby,M,2000,7
Ruby,M,2001,7
Ruby,M,2012,7
Ruby,M,1892,8
Ruby,M,1959,8
Ruby,M,1976,8
Ruby,M,1978,8
Ruby,M,1979,8
Ruby,M,2007,8
Ruby,M,2016,8
Ruby,M,2019,8
Ruby,M,1887,9
Ruby,M,1893,9
Ruby,M,1908,9
Ruby,M,1961,9
Ruby,M,1970,9
Ruby,M,1972,9
Ruby,M,1986,9
Ruby,M,2020,9
Ruby,M,1958,10
Ruby,M,1962,10
Ruby,M,1973,10
Ruby,M,1975,10
Ruby,M,1996,10
Ruby,M,2013,10
Ruby,M,1891,11
Ruby,M,1897,11
Ruby,M,1899,11
Ruby,M,1963,11
Ruby,M,1967,11
Ruby,M,1968,11
Ruby,M,1980,11
Ruby,M,1987,11
Ruby,M,1998,11
Ruby,M,2003,11
Ruby,M,2006,11
Ruby,M,1888,12
Ruby,M,1965,12
Ruby,M,1971,12
Ruby,M,1981,12
Ruby,M,1983,12
Ruby,M,1985,12
Ruby,M,1894,13
Ruby,M,1901,13
Ruby,M,1948,13
Ruby,M,1955,13
Ruby,M,1966,13
Ruby,M,1995,13
Ruby,M,1902,14
Ruby,M,1964,14
Ruby,M,1982,14
Ruby,M,1984,14
Ruby,M,2021,14
Ruby,M,1898,15
Ruby,M,1905,15
Ruby,M,1909,15
Ruby,M,1960,15
Ruby,M,1994,15
Ruby,M,1951,16
Ruby,M,1992,16
Ruby,M,1991,17
Ruby,M,1896,18
Ruby,M,1954,18
Ruby,M,2022,18
Ruby,M,1895,19
Ruby,M,1903,19
Ruby,M,1952,20
Ruby,M,1953,20
Ruby,M,1904,21
Ruby,M,1950,21
Ruby,M,1988,21
Ruby,M,1990,21
Ruby,M,1900,22
Ruby,M,1945,22
Ruby,M,1956,22
Ruby,M,1907,23
Ruby,M,1910,23
Ruby,M,1947,23
Ruby,M,1949,23
Ruby,M,1989,23
Ruby,M,1993,23
Ruby,M,1941,25
Ruby,M,1906,27
Ruby,M,1944,27
Ruby,M,1942,28
Ruby,M,1943,28
Ruby,M,1911,29
Ruby,M,1939,31
Ruby,M,1946,33
Ruby,M,1914,43
Ruby,M,1940,46
Ruby,M,1936,48
Ruby,M,1938,49
Ruby,M,1913,50
Ruby,M,1912,51
Ruby,M,1917,51
Ruby,M,1932,53
Ruby,M,1934,53
Ruby,M,1937,53
Ruby,M,1928,54
Ruby,M,1933,54
Ruby,M,1922,55
Ruby,M,1919,56
Ruby,M,1935,57
Ruby,M,1915,58
Ruby,M,1926,58
Ruby,M,1923,59
Ruby,M,1930,62
Ruby,M,1931,63
Ruby,M,1916,64
Ruby,M,1929,64
Ruby,M,1925,65
Ruby,M,1924,66
Ruby,M,1921,74
Ruby,M,1920,76
Ruby,M,1918,79
Ruby,M,1927,81
Ruby,F,1880,92
Ruby,F,1881,119
Ruby,F,1882,136
Ruby,F,1883,163
Ruby,F,1884,244
Ruby,F,1885,272
Ruby,F,1886,301
Ruby,F,1887,309
Ruby,F,1888,445
Ruby,F,1889,522
Ruby,F,1890,540
Ruby,F,1891,554
Ruby,F,1986,558
Ruby,F,1983,592
Ruby,F,1985,593
Ruby,F,1984,595
Ruby,F,1974,601
Ruby,F,1977,601
Ruby,F,1976,616
Ruby,F,1988,621
Ruby,F,1982,622
Ruby,F,1978,628
Ruby,F,1975,629
Ruby,F,1987,631
Ruby,F,1973,635
Ruby,F,1972,638
Ruby,F,1968,639
Ruby,F,1980,659
Ruby,F,1979,661
Ruby,F,1981,677
Ruby,F,1969,681
Ruby,F,1892,695
Ruby,F,1970,695
Ruby,F,1971,730
Ruby,F,1967,745
Ruby,F,1989,765
Ruby,F,1893,769
Ruby,F,1966,807
Ruby,F,1894,874
Ruby,F,1895,954
Ruby,F,1990,954
Ruby,F,1965,985
Ruby,F,1996,985
Ruby,F,1896,994
Ruby,F,1991,1004
Ruby,F,1897,1025
Ruby,F,1994,1031
Ruby,F,1993,1033
Ruby,F,1992,1040
Ruby,F,1997,1040
Ruby,F,1995,1053
Ruby,F,1899,1103
Ruby,F,1964,1114
Ruby,F,1962,1148
Ruby,F,1898,1191
Ruby,F,1998,1207
Ruby,F,1999,1209
Ruby,F,1901,1225
Ruby,F,2000,1265
Ruby,F,1961,1278
Ruby,F,2001,1365
Ruby,F,1963,1381
Ruby,F,1960,1387
Ruby,F,1902,1458
Ruby,F,1959,1500
Ruby,F,1903,1538
Ruby,F,1900,1540
Ruby,F,2002,1579
Ruby,F,1958,1640
Ruby,F,1904,1701
Ruby,F,2003,1706
Ruby,F,1957,1784
Ruby,F,1905,1885
Ruby,F,1906,1962
Ruby,F,1956,1992
Ruby,F,1955,2009
Ruby,F,1907,2113
Ruby,F,2004,2120
Ruby,F,1954,2143
Ruby,F,1908,2229
Ruby,F,1953,2342
Ruby,F,1951,2351
Ruby,F,1952,2374
Ruby,F,1950,2415
Ruby,F,2005,2471
Ruby,F,1909,2524
Ruby,F,1949,2576
Ruby,F,2006,2580
Ruby,F,2011,2768
Ruby,F,2010,2796
Ruby,F,1910,2893
Ruby,F,1948,2894
Ruby,F,2007,2898
Ruby,F,1945,2905
Ruby,F,2012,2916
Ruby,F,2009,3019
Ruby,F,2008,3020
Ruby,F,1946,3049
Ruby,F,1947,3070
Ruby,F,1944,3189
Ruby,F,2013,3319
Ruby,F,2020,3332
Ruby,F,1911,3372
Ruby,F,2014,3427
Ruby,F,1943,3467
Ruby,F,2015,3467
Ruby,F,1942,3521
Ruby,F,1941,3581
Ruby,F,2017,3582
Ruby,F,2018,3584
Ruby,F,2021,3588
Ruby,F,2022,3593
Ruby,F,1940,3619
Ruby,F,1939,3712
Ruby,F,2019,3733
Ruby,F,2016,3844
Ruby,F,1938,3941
Ruby,F,1936,4226
Ruby,F,1937,4290
Ruby,F,1912,4452
Ruby,F,1935,4764
Ruby,F,1913,4913
Ruby,F,1933,4944
Ruby,F,1934,4977
Ruby,F,1931,5333
Ruby,F,1932,5468
Ruby,F,1914,5625
Ruby,F,1930,5993
Ruby,F,1929,6151
Ruby,F,1928,6692
Ruby,F,1915,7237
